Ticker,Sector,Industry,Country,Market Cap,ATR,Prev Close P,Prev Close F,Price,Open,High,Low,Rel Vol,Ppro Time,Finviz Time
CPRX,Healthcare,Biotechnology,USA,377.42M,0.16,3.6,,,,,,,,
CPSH,Technology,Electronic Components,USA,108.73M,1.11,8.3,,,,,,,,
CPSI,Healthcare,Health Information Services,USA,458.80M,0.87,30.73,,,,,,,,
CPSS,Financial,Credit Services,USA,105.15M,0.21,4.48,,,,,,,,
CPST,Industrials,Specialty Industrial Machinery,USA,137.22M,1.17,12.23,,,,,,,,
CPTA,Financial,Asset Management,USA,44.68M,0.52,16.48,,,,,,,,
CRAI,Industrials,Consulting Services,USA,477.40M,2.32,59.75,,,,,,,,
CRBP,Healthcare,Biotechnology,USA,177.28M,0.18,2.11,,,,,,,,
CRDF,Healthcare,Biotechnology,USA,559.82M,1.79,10.9,,,,,,,,
CREE,Technology,Semiconductors,USA,13.31B,6.01,114.37,,,,,,,,
CREG,Industrials,Waste Management,China,19.37M,0.7,6.17,,,,,,,,
CRESY,Consumer Defensive,Farm Products,Argentina,451.83M,0.35,5.31,,,,,,,,
CREX,Technology,Software - Application,USA,19.67M,0.17,1.85,,,,,,,,
CRIS,Healthcare,Biotechnology,USA,830.88M,1.03,10.96,,,,,,,,
CRMT,Consumer Cyclical,Auto & Truck Dealerships,USA,850.00M,4.49,125.74,,,,,,,,
CRNC,Technology,Software - Application,USA,4.45B,7.3,124.71,,,,,,,,
CRNT,Technology,Communication Equipment,Israel,266.66M,0.55,5.06,,,,,,,,
CRNX,Healthcare,Biotechnology,USA,521.13M,0.81,15.22,,,,,,,,
CRON,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,3.79B,0.57,10.65,,,,,,,,
CROX,Consumer Cyclical,Footwear & Accessories,USA,5.00B,3.06,73.34,,,,,,,,
CRSA,Financial,Shell Companies,USA,351.17M,0.29,10.7,,,,,,,,
CRSP,Healthcare,Biotechnology,Switzerland,14.10B,13.57,188.49,,,,,,,,
CRSR,Technology,Computer Hardware,USA,3.73B,3.06,38.38,,,,,,,,
CRTD,Communication Services,Internet Content & Information,USA,41.64M,0.52,4.77,,,,,,,,
CRTO,Communication Services,Advertising Agencies,France,1.13B,0.98,18.9,,,,,,,,
CRTX,Healthcare,Biotechnology,USA,926.73M,2.06,32.1,,,,,,,,
CRUS,Technology,Semiconductors,USA,5.64B,2.69,98.56,,,,,,,,
CRVL,Financial,Insurance Brokers,USA,1.87B,3.01,104.4,,,,,,,,
CRVS,Healthcare,Biotechnology,USA,115.63M,0.23,4.05,,,,,,,,
CRWD,Technology,Software - Infrastructure,USA,50.83B,9.7,223.52,,,,,,,,
CRWS,Consumer Cyclical,Apparel Manufacturing,USA,77.83M,0.18,7.59,,,,,,,,
CSBR,Healthcare,Biotechnology,USA,155.39M,0.52,11.64,,,,,,,,
CSCO,Technology,Communication Equipment,USA,188.01B,0.77,44.77,,,,,,,,
CSCW,Communication Services,Entertainment,USA,51.30M,0.1,0.86,,,,,,,,
CSF,Financial,Exchange Traded Fund,USA,-,0.8,54.13,,,,,,,,
CSGP,Real Estate,Real Estate Services,USA,35.92B,26.37,896.05,,,,,,,,
CSGS,Technology,Software - Infrastructure,USA,1.52B,1.07,45.78,,,,,,,,
CSII,Healthcare,Medical Devices,USA,1.91B,1.56,46.65,,,,,,,,
CSIQ,Technology,Solar,Canada,4.04B,3.86,63,,,,,,,,
CSML,Financial,Exchange Traded Fund,USA,-,0.49,31.83,,,,,,,,
CSOD,Technology,Software - Application,USA,2.75B,1.08,43.29,,,,,,,,
CSPI,Technology,Information Technology Services,USA,43.96M,0.92,11.3,,,,,,,,
CSQ,Financial,Closed-End Fund - Debt,USA,2.48B,0.24,16.02,,,,,,,,
CSSE,Communication Services,Broadcasting,USA,290.88M,1.66,24,,,,,,,,
CSTE,Industrials,Building Products & Equipment,Israel,483.94M,0.57,13.76,,,,,,,,
CSTL,Healthcare,Diagnostics & Research,USA,1.93B,5.42,79.17,,,,,,,,
CSTR,Financial,Banks - Regional,USA,342.84M,0.5,15.09,,,,,,,,
CSWC,Financial,Asset Management,USA,344.96M,0.4,18.31,,,,,,,,
CSWI,Industrials,Specialty Industrial Machinery,USA,1.86B,3.87,126,,,,,,,,
CSX,Industrials,Railroads,USA,67.08B,2.04,87.64,,,,,,,,
CTAS,Industrials,Specialty Business Services,USA,34.19B,9.07,324.48,,,,,,,,
CTBI,Financial,Banks - Regional,USA,698.82M,1.11,39.37,,,,,,,,
CTEC,Financial,Exchange Traded Fund,USA,-,1.01,28.29,,,,,,,,
CTG,Technology,Information Technology Services,USA,104.99M,0.3,6.88,,,,,,,,
CTHR,Consumer Cyclical,Luxury Goods,USA,40.75M,0.06,1.44,,,,,,,,
CTIB,Consumer Cyclical,Auto Parts,USA,12.48M,0.1,2.02,,,,,,,,
CTIC,Healthcare,Biotechnology,USA,252.35M,0.17,3.37,,,,,,,,
CTMX,Healthcare,Biotechnology,USA,304.30M,0.46,6.65,,,,,,,,
CTRE,Real Estate,REIT - Healthcare Facilities,USA,2.21B,0.66,23.01,,,,,,,,
CTRM,Industrials,Marine Shipping,Cyprus,147.61M,0.05,0.41,,,,,,,,
CTRN,Consumer Cyclical,Apparel Retail,USA,629.24M,2.59,61.27,,,,,,,,
CTSH,Technology,Information Technology Services,USA,42.97B,1.64,80.56,,,,,,,,
CTSO,Healthcare,Medical Devices,USA,425.16M,0.4,9.58,,,,,,,,
CTXR,Healthcare,Biotechnology,USA,70.70M,0.08,1.26,,,,,,,,
CTXS,Technology,Software - Application,USA,15.60B,3.58,126.75,,,,,,,,
CUBA,Financial,Closed-End Fund - Equity,USA,34.53M,0.16,5.63,,,,,,,,
CUE,Healthcare,Biotechnology,USA,429.98M,0.87,14.07,,,,,,,,
CURI,Communication Services,Entertainment,USA,707.82M,1.33,18.81,,,,,,,,
CUTR,Healthcare,Medical Devices,USA,476.72M,1.48,27.54,,,,,,,,
CVAC,Healthcare,Biotechnology,Germany,18.32B,7.05,102.69,,,,,,,,
CVBF,Financial,Banks - Regional,USA,2.97B,0.74,21.55,,,,,,,,
CVCO,Consumer Cyclical,Residential Construction,USA,1.78B,6.87,195.1,,,,,,,,
CVCY,Financial,Banks - Regional,USA,201.75M,0.44,16.05,,,,,,,,
CVET,Healthcare,Health Information Services,USA,5.15B,2.03,38.74,,,,,,,,
CVGI,Consumer Cyclical,Auto Parts,USA,294.51M,0.5,8.93,,,,,,,,
CVGW,Consumer Defensive,Packaged Foods,USA,1.30B,2.7,74.06,,,,,,,,
CVLB,Healthcare,Pharmaceutical Retailers,USA,243.65M,1.11,11.08,,,,,,,,
CVLG,Industrials,Trucking,USA,277.12M,0.81,16,,,,,,,,
CVLT,Technology,Software - Application,USA,2.81B,1.65,59.84,,,,,,,,
CVLY,Financial,Banks - Regional,USA,174.42M,0.5,17.51,,,,,,,,
CVV,Industrials,Specialty Industrial Machinery,USA,33.52M,0.37,4.9,,,,,,,,
CWBC,Financial,Banks - Regional,USA,73.92M,0.22,8.8,,,,,,,,
CWBR,Healthcare,Biotechnology,USA,102.43M,0.12,1.73,,,,,,,,
CWCO,Utilities,Utilities - Regulated Water,Cayman Islands,193.33M,0.44,12.82,,,,,,,,
CWST,Industrials,Waste Management,USA,3.00B,1.77,59.71,,,,,,,,
CXDC,Consumer Cyclical,Auto Parts,China,87.89M,0.06,1.14,,,,,,,,
CXDO,Technology,Information Technology Services,USA,133.84M,0.52,7.25,,,,,,,,
CXSE,Financial,Exchange Traded Fund,USA,-,1.18,74.79,,,,,,,,
CYAD,Healthcare,Biotechnology,Belgium,-,0.45,8.34,,,,,,,,
CYAN,Consumer Defensive,Packaged Foods,USA,21.57M,0.17,3.49,,,,,,,,
CYBE,Technology,Scientific & Technical Instruments,USA,185.45M,1.3,26.12,,,,,,,,
CYBR,Technology,Software - Infrastructure,Israel,6.21B,6.72,162.26,,,,,,,,
CYCC,Healthcare,Biotechnology,USA,48.74M,0.76,7.43,,,,,,,,
CYCN,Healthcare,Biotechnology,USA,120.80M,0.2,3.35,,,,,,,,
CYRN,Technology,Software - Infrastructure,USA,69.92M,0.14,1.24,,,,,,,,
CYRX,Industrials,Integrated Freight & Logistics,USA,3.42B,5.19,82.11,,,,,,,,
CYTH,Healthcare,Biotechnology,USA,27.31M,0.67,6.15,,,,,,,,
CYTK,Healthcare,Biotechnology,USA,1.50B,1.13,20.36,,,,,,,,
CZNC,Financial,Banks - Regional,USA,333.70M,0.67,20.46,,,,,,,,
CZR,Consumer Cyclical,Resorts & Casinos,USA,16.18B,3.07,79.53,,,,,,,,
CZWI,Financial,Banks - Regional,USA,121.61M,0.28,10.8,,,,,,,,
DADA,Consumer Cyclical,Internet Retail,China,10.17B,3.24,44.95,,,,,,,,
DAIO,Technology,Electronic Components,USA,43.84M,0.27,5.25,,,,,,,,
DAKT,Technology,Computer Hardware,USA,326.30M,0.22,5.23,,,,,,,,
DARE,Healthcare,Biotechnology,USA,129.97M,0.29,2.92,,,,,,,,
DAX,Financial,Exchange Traded Fund,USA,-,0.46,31.27,,,,,,,,
DBDR,Financial,Shell Companies,USA,241.05M,0.14,10.41,,,,,,,,
DBVT,Healthcare,Biotechnology,France,650.13M,0.47,5.93,,,,,,,,
DBX,Technology,Software - Infrastructure,USA,9.42B,0.87,22.16,,,,,,,,
DCBO,Technology,Software - Application,Canada,1.73B,3.56,53.01,,,,,,,,
DCOM,Financial,Banks - Regional,USA,597.42M,0.63,17.67,,,,,,,,
DCPH,Healthcare,Biotechnology,USA,2.72B,2.45,46.76,,,,,,,,
DCRB,Financial,Shell Companies,USA,396.86M,0.48,13.68,,,,,,,,
DCRBU,Financial,Shell Companies,USA,-,0.74,15.2,,,,,,,,
DCT,Technology,Software - Application,USA,6.71B,2.47,49.96,,,,,,,,
DCTH,Healthcare,Medical Devices,USA,97.14M,0.92,16.69,,,,,,,,
DDOG,Technology,Software - Application,USA,32.62B,4.84,105,,,,,,,,
DEMZ,Financial,Exchange Traded Fund,USA,-,0.2,23.27,,,,,,,,
DENN,Consumer Cyclical,Restaurants,USA,993.26M,0.69,15.51,,,,,,,,
DFFN,Healthcare,Biotechnology,USA,81.52M,0.13,1.23,,,,,,,,
DFNL,Financial,Exchange Traded Fund,USA,-,0.39,24.63,,,,,,,,
DGICA,Financial,Insurance - Property & Casualty,USA,414.84M,0.25,14.3,,,,,,,,
DGII,Technology,Communication Equipment,USA,599.80M,0.75,19.98,,,,,,,,
DGLY,Industrials,Security & Protection Services,USA,75.76M,0.3,2.65,,,,,,,,
DGNS,Financial,Shell Companies,USA,358.80M,0.58,13,,,,,,,,
DGRE,Financial,Exchange Traded Fund,USA,-,0.36,30.42,,,,,,,,
DGRS,Financial,Exchange Traded Fund,USA,-,0.68,41.94,,,,,,,,
DGRW,Financial,Exchange Traded Fund,USA,-,0.5,54.61,,,,,,,,
DHC,Real Estate,REIT - Healthcare Facilities,USA,1.04B,0.23,4.42,,,,,,,,
DHIL,Financial,Asset Management,USA,492.86M,3.03,153.54,,,,,,,,
DIOD,Technology,Semiconductors,USA,4.28B,2.23,79.86,,,,,,,,
DISCA,Communication Services,Entertainment,USA,17.10B,1.18,37.49,,,,,,,,
DISCK,Communication Services,Entertainment,USA,-,1.01,32.89,,,,,,,,
DISH,Communication Services,Entertainment,USA,16.36B,1.14,30.72,,,,,,,,
DJCO,Communication Services,Publishing,USA,476.00M,13.01,340,,,,,,,,
DKNG,Financial,Shell Companies,USA,21.04B,2.76,52.53,,,,,,,,
DLCAU,Financial,Shell Companies,USA,-,0.29,10.7,,,,,,,,
DLHC,Industrials,Specialty Business Services,USA,131.94M,0.61,10.43,,,,,,,,
DLPN,Communication Services,Entertainment,USA,27.36M,0.35,4.12,,,,,,,,
DLTH,Consumer Cyclical,Apparel Retail,USA,399.58M,0.61,12.31,,,,,,,,
DLTR,Consumer Defensive,Discount Stores,USA,25.75B,2.46,107.88,,,,,,,,
DMAC,Healthcare,Biotechnology,USA,162.78M,0.79,8.89,,,,,,,,
DMLP,Energy,Oil & Gas E&P,USA,440.66M,0.43,12.42,,,,,,,,
DMRC,Technology,Information Technology Services,USA,651.13M,3.41,42.09,,,,,,,,
DMTK,Healthcare,Diagnostics & Research,USA,1.04B,3.96,42.92,,,,,,,,
DNLI,Healthcare,Biotechnology,USA,9.61B,5.32,79.13,,,,,,,,
DOCU,Technology,Software - Application,USA,47.78B,9.53,255.15,,,,,,,,
DOGZ,Consumer Defensive,Household & Personal Products,China,71.17M,0.24,2.07,,,,,,,,
DOMO,Technology,Software - Application,USA,2.16B,4.2,72.61,,,,,,,,
DOOO,Consumer Cyclical,Recreational Vehicles,Canada,3.02B,2.14,68.64,,,,,,,,
DORM,Consumer Cyclical,Auto Parts,USA,3.19B,3.27,99.15,,,,,,,,
DOX,Technology,Software - Infrastructure,USA,9.32B,1.14,70.78,,,,,,,,
DOYU,Communication Services,Internet Content & Information,China,4.21B,0.54,12.81,,,,,,,,
DRIO,Healthcare,Diagnostics & Research,Israel,173.50M,1.59,21.99,,,,,,,,
DRNA,Healthcare,Biotechnology,USA,1.91B,1.23,24.64,,,,,,,,
DRRX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,475.16M,0.13,2.25,,,,,,,,
DRTT,Industrials,Engineering & Construction,Canada,193.07M,0.18,2.28,,,,,,,,
DRVN,Consumer Cyclical,Auto & Truck Dealerships,USA,-,2.98,29.79,,,,,,,,
DSAC,Financial,Shell Companies,Hong Kong,179.90M,0.11,10.28,,,,,,,,
DSACU,Financial,Shell Companies,Hong Kong,-,0.21,10.68,,,,,,,,
DSGX,Technology,Software - Application,Canada,5.29B,1.71,62.5,,,,,,,,
DSKE,Industrials,Trucking,USA,385.82M,0.34,6.1,,,,,,,,
DSPG,Technology,Semiconductors,USA,406.76M,0.62,16.65,,,,,,,,
DSWL,Technology,Electronic Components,China,51.35M,0.12,3.24,,,,,,,,
DTEA,Consumer Defensive,Packaged Foods,Canada,75.74M,0.27,2.84,,,,,,,,
DTIL,Healthcare,Biotechnology,USA,641.38M,1.11,13.29,,,,,,,,
DTSS,Technology,Software - Infrastructure,China,74.84M,0.44,3.46,,,,,,,,
DUNEU,Financial,Shell Companies,USA,-,0.31,11,,,,,,,,
DUO,Real Estate,Real Estate Services,China,704.72M,0.49,8.88,,,,,,,,
DUOT,Technology,Software - Application,USA,17.67M,0.41,5.29,,,,,,,,
DUSA,Financial,Exchange Traded Fund,USA,-,0.38,30.53,,,,,,,,
DVAX,Healthcare,Biotechnology,USA,572.79M,0.3,5.22,,,,,,,,
DVY,Financial,Exchange Traded Fund,USA,-,1.44,100.02,,,,,,,,
DWAS,Financial,Exchange Traded Fund,USA,-,1.97,85,,,,,,,,
DWAW,Financial,Exchange Traded Fund,USA,-,0.6,39.89,,,,,,,,
DWEQ,Financial,Exchange Traded Fund,USA,-,0.3,29,,,,,,,,
DWFI,Financial,Exchange Traded Fund,USA,-,0.13,26.4,,,,,,,,
DWLD,Financial,Exchange Traded Fund,USA,-,0.42,32.77,,,,,,,,
DWPP,Financial,Exchange Traded Fund,USA,-,0.22,29.2,,,,,,,,
DWSN,Energy,Oil & Gas Equipment & Services,USA,66.80M,0.18,2.75,,,,,,,,
DWUS,Financial,Exchange Traded Fund,USA,-,0.4,35.9,,,,,,,,
DXCM,Healthcare,Diagnostics & Research,USA,35.33B,12.32,370.12,,,,,,,,
DXJS,Financial,Exchange Traded Fund,USA,-,0.35,40.41,,,,,,,,
DXPE,Industrials,Industrial Distribution,USA,488.88M,1.24,27.04,,,,,,,,
DXYN,Consumer Cyclical,Textile Manufacturing,USA,61.06M,0.22,3.6,,,,,,,,
DYAI,Healthcare,Biotechnology,USA,169.30M,0.29,5.86,,,,,,,,
DYN,Healthcare,Biotechnology,USA,932.03M,2.62,20.2,,,,,,,,
DYNT,Healthcare,Medical Devices,USA,16.93M,0.09,1.17,,,,,,,,
DZSI,Technology,Communication Equipment,USA,354.16M,0.83,16.12,,,,,,,,
EA,Communication Services,Electronic Gaming & Multimedia,USA,42.33B,3.34,146,,,,,,,,
EAR,Healthcare,Medical Devices,USA,2.47B,5.83,63,,,,,,,,
EARS,Healthcare,Biotechnology,Bermuda,33.06M,0.29,3.28,,,,,,,,
EAST,Consumer Defensive,Beverages - Wineries & Distilleries,USA,15.85M,0.08,1.53,,,,,,,,
EBAY,Consumer Cyclical,Internet Retail,USA,38.81B,1.39,56.46,,,,,,,,
EBC,Financial,Banks - Regional,USA,3.05B,0.46,16.23,,,,,,,,
EBIX,Technology,Software - Application,USA,1.44B,1.8,45.63,,,,,,,,
EBIZ,Financial,Exchange Traded Fund,USA,-,0.6,34.72,,,,,,,,
EBMT,Financial,Banks - Regional,USA,142.90M,0.83,20.8,,,,,,,,
EBON,Technology,Computer Hardware,China,434.71M,0.76,5.15,,,,,,,,
EBSB,Financial,Banks - Regional,USA,838.39M,0.43,15.78,,,,,,,,
EBTC,Financial,Banks - Regional,USA,337.10M,0.9,28.28,,,,,,,,
ECHO,Industrials,Integrated Freight & Logistics,USA,788.57M,0.96,29.12,,,,,,,,
ECOL,Industrials,Waste Management,USA,1.20B,1.19,36.65,,,,,,,,
ECOR,Healthcare,Medical Instruments & Supplies,USA,117.52M,0.21,2.66,,,,,,,,
ECPG,Financial,Mortgage Finance,USA,990.66M,1.79,30.24,,,,,,,,
EDAP,Healthcare,Medical Devices,France,241.38M,0.44,8.03,,,,,,,,
EDIT,Healthcare,Biotechnology,USA,4.11B,8.1,65.76,,,,,,,,
EDOC,Financial,Exchange Traded Fund,USA,-,0.39,21.67,,,,,,,,
EDRY,Industrials,Marine Shipping,Greece,13.38M,0.47,6.4,,,,,,,,
EDSA,Healthcare,Biotechnology,Canada,62.30M,0.48,5.79,,,,,,,,
EDTK,Consumer Defensive,Education & Training Services,China,37.02M,0.28,3.39,,,,,,,,
EDTXU,Financial,Shell Companies,United Kingdom,120.95M,0.11,10.49,,,,,,,,
EDUC,Communication Services,Publishing,USA,129.81M,0.79,14.99,,,,,,,,
EDUT,Financial,Exchange Traded Fund,USA,-,0.32,19.06,,,,,,,,
EEFT,Technology,Software - Infrastructure,USA,7.58B,3.97,139.29,,,,,,,,
EEMA,Financial,Exchange Traded Fund,USA,-,1.27,95.53,,,,,,,,
EFAS,Financial,Exchange Traded Fund,USA,-,0.18,14.91,,,,,,,,
EFOI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,18.14M,0.31,4.93,,,,,,,,
EFSC,Financial,Banks - Regional,USA,1.17B,1.2,37.22,,,,,,,,
EGAN,Technology,Software - Application,USA,389.81M,0.55,12.45,,,,,,,,
EGBN,Financial,Banks - Regional,USA,1.45B,1.62,44.66,,,,,,,,
EGLE,Industrials,Marine Shipping,USA,289.68M,1.25,22.13,,,,,,,,
EGOV,Technology,Software - Application,USA,1.98B,0.74,29.76,,,,,,,,
EGRX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,622.49M,1.71,47.7,,,,,,,,
EH,Industrials,Aerospace & Defense,China,4.70B,7.53,77.2,,,,,,,,
EHTH,Financial,Insurance Brokers,USA,2.05B,2.99,79.74,,,,,,,,
EIDX,Healthcare,Biotechnology,USA,5.07B,5.69,128.44,,,,,,,,
EIGI,Technology,Software - Application,USA,1.34B,0.03,9.48,,,,,,,,
EIGR,Healthcare,Biotechnology,USA,375.66M,0.67,10.73,,,,,,,,
EKSO,Healthcare,Medical Instruments & Supplies,USA,81.80M,0.8,10,,,,,,,,
ELDN,Healthcare,Biotechnology,USA,221.94M,1.21,15.99,,,,,,,,
ELOX,Healthcare,Biotechnology,USA,160.89M,0.37,3.96,,,,,,,,
ELSE,Technology,Scientific & Technical Instruments,USA,21.94M,0.52,6.06,,,,,,,,
ELTK,Technology,Electronic Components,Israel,24.43M,0.24,5.54,,,,,,,,
ELYS,Consumer Cyclical,Gambling,Canada,103.25M,0.71,5.72,,,,,,,,
EMB,Financial,Exchange Traded Fund,USA,-,0.44,113.85,,,,,,,,
EMCB,Financial,Exchange Traded Fund,USA,-,1.24,76.61,,,,,,,,
EMCF,Financial,Banks - Regional,USA,77.75M,1.23,28.69,,,,,,,,
EMIF,Financial,Exchange Traded Fund,USA,-,0.32,24.02,,,,,,,,
EMKR,Technology,Semiconductors,USA,145.01M,0.33,4.77,,,,,,,,
EML,Industrials,Tools & Accessories,USA,162.95M,1.01,25.5,,,,,,,,
EMXC,Financial,Exchange Traded Fund,USA,-,0.81,60.07,,,,,,,,
ENDP,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,1.62B,0.44,6.93,,,,,,,,
ENFAU,Financial,Shell Companies,USA,-,0.15,10.4,,,,,,,,
ENG,Industrials,Engineering & Construction,USA,223.19M,0.92,7.41,,,,,,,,
ENLV,Healthcare,Biotechnology,Israel,159.06M,0.63,12.05,,,,,,,,
ENOB,Healthcare,Biotechnology,USA,158.92M,0.26,3.28,,,,,,,,
ENPH,Technology,Solar,USA,29.35B,13.15,212.07,,,,,,,,
ENSG,Healthcare,Medical Care Facilities,USA,4.62B,3.08,85.18,,,,,,,,
ENTA,Healthcare,Biotechnology,USA,990.11M,1.9,47.67,,,,,,,,
ENTG,Technology,Semiconductor Equipment & Materials,USA,15.31B,3.06,112.33,,,,,,,,
ENTX,Healthcare,Biotechnology,Israel,34.19M,0.11,1.69,,,,,,,,
ENVB,Healthcare,Biotechnology,Canada,57.33M,0.97,3.94,,,,,,,,
ENVIU,Financial,Shell Companies,USA,-,0.33,10.8,,,,,,,,
ENZL,Financial,Exchange Traded Fund,USA,-,1.23,68.85,,,,,,,,
EOLS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,216.54M,0.6,6.62,,,,,,,,
EOSE,Industrials,Electrical Equipment & Parts,USA,1.25B,3.13,23.48,,,,,,,,
EPAY,Technology,Software - Infrastructure,USA,2.37B,1.62,51.69,,,,,,,,
EPIX,Healthcare,Biotechnology,Canada,577.12M,1.28,18.2,,,,,,,,
EPSN,Energy,Oil & Gas E&P,USA,87.42M,0.19,3.69,,,,,,,,
EPZM,Healthcare,Biotechnology,USA,1.19B,0.66,11.45,,,,,,,,
EQ,Healthcare,Biotechnology,USA,150.97M,0.45,6.01,,,,,,,,
EQBK,Financial,Banks - Regional,USA,349.66M,1.03,23.53,,,,,,,,
EQIX,Real Estate,REIT - Specialty,USA,62.61B,15.58,721.16,,,,,,,,
EQOS,Financial,Capital Markets,Hong Kong,132.26M,2.29,16.7,,,,,,,,
ERESU,Financial,Shell Companies,USA,-,0.21,11.22,,,,,,,,
ERIC,Technology,Communication Equipment,Sweden,39.98B,0.19,11.83,,,,,,,,
ERIE,Financial,Insurance Brokers,USA,11.00B,6.61,236.45,,,,,,,,
ERII,Industrials,Pollution & Treatment Controls,USA,828.62M,0.54,14.55,,,,,,,,
ERYP,Healthcare,Biotechnology,France,230.63M,0.9,11.5,,,,,,,,
ESBK,Financial,Banks - Regional,USA,42.18M,0.31,12.12,,,,,,,,
ESCA,Consumer Cyclical,Leisure,USA,333.06M,1.09,21.74,,,,,,,,
ESEA,Industrials,Marine Shipping,Greece,44.87M,0.53,7.9,,,,,,,,
ESGD,Financial,Exchange Traded Fund,USA,-,0.77,75.17,,,,,,,,
ESGE,Financial,Exchange Traded Fund,USA,-,0.6,45.49,,,,,,,,
ESGR,Financial,Insurance - Diversified,Bermuda,4.70B,5.83,210.84,,,,,,,,
ESGU,Financial,Exchange Traded Fund,USA,-,0.92,88.44,,,,,,,,
ESLT,Industrials,Aerospace & Defense,Israel,6.17B,3.21,135.24,,,,,,,,
ESPO,Financial,Exchange Traded Fund,USA,-,1.2,76.22,,,,,,,,
ESPR,Healthcare,Biotechnology,USA,756.90M,1.82,25.93,,,,,,,,
ESQ,Financial,Banks - Regional,USA,179.21M,1.52,25.1,,,,,,,,
ESSA,Financial,Banks - Regional,USA,169.12M,0.51,15.1,,,,,,,,
ESTA,Healthcare,Medical Devices,Costa Rica,1.17B,3.26,52.99,,,,,,,,
ESXB,Financial,Banks - Regional,USA,165.19M,0.21,7.22,,,,,,,,
ETAC,Financial,Shell Companies,USA,663.41M,0.18,10.84,,,,,,,,
ETACU,Financial,Shell Companies,USA,-,0.21,11.6,,,,,,,,
ETNB,Healthcare,Biotechnology,USA,415.64M,1.14,20.73,,,,,,,,
ETON,Healthcare,Biotechnology,USA,225.15M,0.47,9.25,,,,,,,,
ETSY,Consumer Cyclical,Internet Retail,USA,27.87B,10.93,213.59,,,,,,,,
ETTX,Healthcare,Biotechnology,USA,118.05M,0.26,3.47,,,,,,,,
EUCRU,Financial,Shell Companies,USA,-,0.17,10.75,,,,,,,,
EUFN,Financial,Exchange Traded Fund,USA,-,0.28,17.77,,,,,,,,
EVBG,Technology,Software - Application,USA,5.15B,6.45,141.59,,,,,,,,
EVER,Communication Services,Internet Content & Information,USA,1.17B,1.72,40.63,,,,,,,,
EVFM,Healthcare,Biotechnology,USA,224.96M,0.16,2.83,,,,,,,,
EVGN,Healthcare,Biotechnology,Israel,218.07M,0.61,6.13,,,,,,,,
EVK,Consumer Cyclical,Apparel Manufacturing,China,61.79M,0.35,4.1,,,,,,,,
EVLO,Healthcare,Biotechnology,USA,692.97M,1.58,15.71,,,,,,,,
EVOK,Healthcare,Drug Manufacturers - Specialty & Generic,USA,78.47M,0.26,2.84,,,,,,,,
EVOL,Technology,Software - Application,USA,28.82M,0.2,2.3,,,,,,,,
EVOP,Technology,Software - Infrastructure,USA,2.21B,1.07,26.45,,,,,,,,
EWBC,Financial,Banks - Diversified,USA,8.96B,1.76,62.4,,,,,,,,
EWJE,Financial,Exchange Traded Fund,USA,-,0.29,39.4,,,,,,,,
EWJV,Financial,Exchange Traded Fund,USA,-,0.22,26.71,,,,,,,,
EWZS,Financial,Exchange Traded Fund,USA,-,0.45,15.54,,,,,,,,
EXAS,Healthcare,Diagnostics & Research,USA,24.13B,6.29,150,,,,,,,,
EXC,Utilities,Utilities - Diversified,USA,40.75B,0.87,42.54,,,,,,,,
EXEL,Healthcare,Biotechnology,USA,6.86B,0.96,22.14,,,,,,,,
EXFO,Technology,Communication Equipment,Canada,214.87M,0.21,3.85,,,,,,,,
EXLS,Technology,Information Technology Services,USA,2.96B,1.99,86.6,,,,,,,,
EXPD,Industrials,Integrated Freight & Logistics,USA,16.09B,1.96,93.77,,,,,,,,
EXPE,Consumer Cyclical,Travel Services,USA,19.79B,4.62,136.52,,,,,,,,
EXPI,Real Estate,Real Estate Services,USA,7.15B,6.43,102.92,,,,,,,,
EXPO,Industrials,Consulting Services,USA,4.84B,2.49,93.24,,,,,,,,
EXTR,Technology,Communication Equipment,USA,958.88M,0.26,7.78,,,,,,,,
EYE,Consumer Cyclical,Specialty Retail,USA,4.16B,1.92,48.15,,,,,,,,
EYEG,Healthcare,Biotechnology,USA,31.53M,0.55,6.68,,,,,,,,
EYEN,Healthcare,Biotechnology,USA,172.70M,0.43,6.93,,,,,,,,
EYES,Healthcare,Medical Devices,USA,46.40M,0.33,1.94,,,,,,,,
EYPT,Healthcare,Biotechnology,USA,150.18M,0.95,9.9,,,,,,,,
EZPW,Financial,Credit Services,USA,268.28M,0.21,4.74,,,,,,,,
FAAR,Financial,Exchange Traded Fund,USA,-,0.5,27.37,,,,,,,,
FAB,Financial,Exchange Traded Fund,USA,-,0.73,61.71,,,,,,,,
FAD,Financial,Exchange Traded Fund,USA,-,1.43,111.64,,,,,,,,
FAMI,Consumer Defensive,Packaged Foods,China,30.45M,0.11,1.45,,,,,,,,
FANG,Energy,Oil & Gas E&P,USA,10.53B,3.12,63.74,,,,,,,,
FANH,Financial,Insurance Brokers,China,1.01B,0.53,14.74,,,,,,,,
FARM,Consumer Defensive,Packaged Foods,USA,100.51M,0.28,5.77,,,,,,,,
