Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
STZ,Constellation Brands Inc,0.10%,3.444,2.619,0.94-8.26,2.159,1.076,0.84-3.59,3.222,1.803,1.57-8.44
OTIS,Otis Worldwide Corp,0.10%,0.922,0.489,0.56-1.93,1.199,0.578,0.51-2.31,1.306,0.512,0.785-2.31
XEL,XCEL Energy Inc,0.10%,0.838,0.375,0.5-1.61,0.997,0.356,0.513-1.52,1.12,0.313,0.6-1.75
ROK,Rockwell Automation Inc,0.10%,3.379,1.715,1.23-5.674,3.543,1.233,1.39-5.665,4.289,1.228,2.05-6.265
NUE,Nucor Corp,0.10%,2.062,0.51,1.07-2.71,3.402,1.407,1.99-6.495,3.435,1.226,2.08-6.815
PAYX,Paychex Inc,0.10%,0.79,0.174,0.62-1.08,1.469,0.557,0.6-2.27,1.456,0.566,0.83-2.82
MAR,Marriot Int Cl A,0.10%,2.762,0.883,1.499-3.89,2.54,0.364,2.08-2.99,3.353,0.814,2.257-5.04
AFL,Aflac Inc,0.09%,0.737,0.033,0.7-0.79,0.68,0.295,0.31-1.35,0.807,0.199,0.535-1.35
MNST,Monster Beverage Cp,0.09%,0.951,0.483,0.515-1.77,0.946,0.494,0.48-2.29,1.257,0.454,0.719-2.29
GIS,General Mills,0.09%,0.693,0.405,0.42-1.74,0.635,0.237,0.32-0.97,0.859,0.325,0.51-1.81
MTD,Mettler-Toledo International,0.09%,23.119,5.847,12.86-31.555,31.424,20.877,11.69-71.995,32.848,14.347,18.52-71.995
WELL,Welltower Inc,0.09%,1.428,0.508,0.59-2.18,1.605,0.597,0.84-2.35,1.8,0.491,0.86-2.43
HLT,Hilton Inc,0.09%,2.32,0.944,1.49-4.28,2.082,0.649,0.94-3.06,2.734,0.735,1.75-4.44
CMI,Cummins Inc,0.09%,3.32,1.175,1.94-4.83,3.569,1.514,1.62-6.18,4.271,1.016,2.77-6.18
KR,Kroger Company,0.09%,1.015,0.53,0.45-2.0,0.997,0.683,0.47-2.8,1.187,0.613,0.66-2.94
HPQ,HP Inc,0.09%,0.619,0.345,0.26-1.3,0.664,0.198,0.41-0.985,0.764,0.31,0.35-1.57
WBA,Walgreens Boots Alliance,0.09%,1.404,0.771,0.39-2.41,0.862,0.384,0.37-1.35,1.176,0.554,0.53-2.477
AZO,Autozone,0.09%,19.932,7.849,9.45-29.36,19.882,9.709,9.908-35.26,26.24,9.515,15.355-45.235
FRC,First Republic Bank,0.09%,2.251,0.91,1.29-4.0,2.871,0.945,1.66-4.81,3.188,0.875,1.88-4.82
CTAS,Cintas Corp,0.09%,4.477,1.892,2.32-7.56,4.879,3.621,2.88-13.575,6.004,2.589,2.98-13.575
PXD,Pioneer Natural Resources Company,0.09%,3.819,1.501,1.63-6.61,2.818,1.085,1.5-4.925,4.104,1.252,2.66-7.47
SIVB,Svb Financial Group,0.09%,11.683,2.587,7.86-14.5,11.364,5.691,4.73-23.95,14.239,4.753,9.34-28.92
ADM,Archer Daniels Midland,0.09%,0.976,0.476,0.48-2.09,0.761,0.275,0.49-1.25,1.032,0.456,0.54-2.34
TDG,Transdigm Group Inc,0.09%,10.945,5.052,5.62-18.28,9.772,2.491,6.11-13.6,12.668,3.566,7.33-21.82
WST,West Pharmaceutical Services,0.09%,6.537,2.28,3.38-9.79,8.809,6.324,3.25-23.56,9.799,4.821,5.19-24.46
AWK,American Water Works,0.09%,2.471,1.61,1.1-5.34,2.242,0.901,1.225-3.59,2.954,1.104,1.905-5.84
KEYS,Keysight Technologies Inc Comm,0.09%,1.889,0.467,1.32-2.625,1.977,0.954,0.747-4.1,2.413,0.732,1.337-4.19
PEG,Public Service Enterprise Group Inc,0.08%,0.632,0.351,0.2-1.27,0.718,0.243,0.42-1.2,0.866,0.302,0.35-1.47
VRSK,Verisk Analytics Inc,0.08%,1.903,0.971,0.98-4.67,2.36,0.542,1.48-2.84,2.634,0.856,1.63-5.19
KMI,Kinder Morgan,0.08%,0.231,0.096,0.08-0.37,0.209,0.063,0.13-0.29,0.283,0.062,0.16-0.39
ANSS,Ansys Inc,0.08%,4.21,0.892,2.72-5.42,5.106,2.406,2.99-10.25,6.15,1.605,3.72-10.81
MCK,Mckesson Corp,0.08%,2.885,1.536,1.187-5.83,3.434,0.915,2.26-4.92,3.679,1.358,1.497-6.92
DHI,D.R. Horton,0.08%,1.416,0.208,1.22-1.81,1.903,0.437,1.12-2.53,2.085,0.394,1.36-2.63
CTVA,Corteva Inc,0.08%,0.747,0.135,0.605-0.99,0.678,0.271,0.33-1.2,0.821,0.241,0.47-1.3
FAST,Fastenal Company,0.08%,0.594,0.29,0.31-1.1,0.836,0.42,0.39-1.87,0.885,0.368,0.42-1.93
EFX,Equifax Inc,0.08%,3.464,1.444,1.18-6.08,3.968,0.829,2.83-5.37,4.585,1.333,1.92-6.7
STT,State Street Corp,0.08%,1.314,0.664,0.68-2.5,2.232,1.116,0.809-4.415,1.997,0.939,0.98-4.425
AME,Amtek Inc,0.08%,1.11,0.226,0.82-1.37,1.447,0.591,0.73-2.46,1.686,0.526,0.79-2.46
AMP,Ameriprise Financial Services,0.08%,4.497,1.586,2.02-6.03,3.217,1.345,1.3-5.57,4.471,1.261,2.35-7.07
CBRE,CBRE Group Inc,0.08%,1.199,0.408,0.59-1.99,1.278,0.551,0.75-2.07,1.682,0.523,1.15-2.99
ES,Eversource Energy,0.08%,1.26,0.807,0.43-2.8,1.259,0.579,0.55-2.26,1.473,0.717,0.61-3.22
GLW,Corning Inc,0.08%,0.472,0.175,0.23-0.72,0.599,0.253,0.289-1.015,0.73,0.169,0.38-1.015
BLL,Ball Corp,0.08%,1.1,0.457,0.54-1.65,0.963,0.416,0.42-1.77,1.311,0.491,0.71-2.4
PSX,Phillips 66,0.08%,1.219,0.404,0.63-1.87,1.956,0.673,0.855-2.87,1.857,0.55,1.24-3.09
SWK,Stanley Black & Decker Inc,0.08%,4.074,1.758,1.11-5.715,3.113,1.746,0.68-6.2,3.815,1.74,1.21-6.68
AVB,Avalonbay Communities,0.08%,2.594,1.222,1.33-5.037,3.249,1.248,2.13-5.94,3.63,1.072,2.2-5.94
ZBRA,Zebra Technologies,0.08%,6.087,1.822,3.13-9.0,9.177,3.059,5.86-13.18,9.78,2.153,5.88-13.18
ZBH,Zimmer Biomet Holdings,0.08%,2.632,2.92,0.81-9.1,2.423,1.055,0.83-4.08,3.332,2.373,1.16-10.79
SWKS,Skyworks Solutions,0.08%,2.511,0.422,2.09-3.354,3.082,1.268,1.09-4.67,3.358,0.804,2.06-4.67
LUV,Southwest Airlines Company,0.08%,1.059,0.658,0.38-2.28,1.007,0.423,0.58-1.92,1.324,0.437,0.69-2.37
WMB,Williams Companies,0.08%,0.439,0.181,0.21-0.82,0.262,0.058,0.16-0.34,0.43,0.138,0.24-0.85
WEC,Wisconsin Energy Corp,0.08%,1.248,0.652,0.65-2.44,1.18,0.546,0.56-2.06,1.443,0.595,0.68-2.68
LH,Laboratory Corp of America Holdings,0.08%,3.536,0.256,3.16-3.95,4.2,1.525,2.21-7.362,4.929,1.269,2.85-7.362
AJG,Arthur J. Gallagher & Company,0.08%,1.626,1.22,0.86-4.77,1.6,0.708,0.61-2.6,2.042,1.237,0.95-6.03
CPRT,Copart Inc,0.08%,2.228,1.139,1.16-4.71,1.767,0.43,1.3-2.42,2.842,1.374,1.7-6.711
LEN,Lennar Corp,0.08%,1.837,0.426,1.29-2.33,1.903,0.643,1.12-3.11,2.48,0.515,1.77-3.33
PCAR,Paccar Inc,0.07%,1.067,0.354,0.64-1.51,0.994,0.415,0.52-1.67,1.29,0.476,0.635-2.38
ARE,Alexandria Real Estate Equities,0.07%,2.254,0.994,1.2-3.76,2.49,1.149,0.91-4.56,2.996,1.197,1.47-6.28
EQR,Equity Residential,0.07%,1.192,0.325,0.74-1.62,1.203,0.692,0.38-2.88,1.409,0.514,0.56-2.88
MXIM,Maxim Integrated,0.07%,2.41,0.8,1.36-3.58,1.819,0.616,0.727-2.91,2.643,0.92,1.27-4.4
WLTW,Willis Towers WT,0.07%,5.403,1.609,2.59-7.16,3.328,0.682,2.085-4.312,5.117,1.202,3.56-7.16
CDW,CDW Corp,0.07%,2.028,0.541,1.46-2.822,2.558,1.274,1.144-4.66,3.045,1.25,1.66-6.19
ODFL,Old Dominion Freight Line Inc,0.07%,4.624,1.457,2.16-6.14,5.215,2.608,1.96-11.48,6.361,2.152,3.185-11.48
FITB,Fifth Third Bancorp,0.07%,0.685,0.33,0.445-1.455,0.669,0.19,0.34-0.93,0.818,0.239,0.51-1.455
SYF,Synchrony Financial,0.07%,1.102,0.515,0.67-2.29,1.283,0.664,0.635-2.8,1.407,0.556,0.924-2.8
BBY,Best Buy Company,0.07%,1.98,0.57,1.41-2.55,1.967,0.84,1.07-3.87,2.409,0.719,1.425-3.89
ALB,Albemarle Corp,0.07%,6.317,2.281,3.5-9.93,7.268,5.442,2.86-20.48,8.223,4.049,3.725-20.8
VLO,Valero Energy Corp,0.07%,1.58,0.563,0.72-2.62,2.033,0.613,1.05-2.87,2.12,0.551,1.26-3.425
KSU,Kansas City Southern,0.07%,4.386,3.066,1.2-10.92,5.413,4.335,1.3-14.97,6.05,3.676,2.22-16.19
O,Realty Income Corp,0.07%,0.588,0.154,0.34-0.865,1.229,0.494,0.44-1.885,1.14,0.437,0.65-1.96
LYB,Lyondellbasell Industries NV,0.07%,2.002,0.643,1.2-2.775,1.785,0.962,0.82-4.03,2.214,0.73,1.46-4.03
GNRC,Generac Holdings Inc,0.07%,9.754,2.897,4.76-14.08,12.46,6.439,5.66-23.41,13.075,4.465,6.46-24.062
WY,Weyerhaeuser Company,0.07%,0.67,0.322,0.31-1.11,0.48,0.154,0.26-0.74,0.668,0.177,0.44-1.11
IT,Gartner Inc,0.07%,4.038,1.891,1.965-7.0,4.826,2.487,1.905-8.65,5.549,1.884,3.365-8.93
GRMN,Garmin Ltd,0.07%,2.004,0.49,1.31-2.74,2.475,1.55,0.52-5.99,2.821,1.205,1.0-6.16
DAL,Delta Air Lines Inc,0.07%,0.884,0.601,0.34-2.15,1.008,0.46,0.62-1.87,1.234,0.461,0.678-2.319
HSY,Hershey Foods Corp,0.07%,1.874,0.703,0.69-3.03,1.626,1.037,0.875-4.3,2.063,0.786,1.36-4.3
RSG,Republic Services,0.07%,0.975,0.418,0.43-1.86,1.16,0.594,0.73-2.0,1.386,0.452,0.77-2.09
ED,Consolidated Edison Company of New York,0.07%,0.758,0.575,0.31-2.09,1.028,0.364,0.5-1.51,1.068,0.504,0.505-2.28
ETSY,Etsy Inc,0.07%,5.816,3.13,2.84-12.98,6.275,2.374,3.61-10.0,7.027,2.503,4.49-13.55
DOV,Dover Corp,0.07%,1.774,0.548,1.19-2.79,2.323,1.724,0.62-5.7,2.486,1.446,0.95-5.96
WAT,Waters Corp,0.07%,4.926,1.265,3.53-6.94,9.128,6.965,4.275-22.54,7.715,4.342,4.115-22.54
FTV,Fortive Corp,0.07%,0.872,0.434,0.46-1.8,1.019,0.462,0.5-1.79,1.181,0.479,0.65-2.11
URI,United Rentals,0.07%,8.053,2.085,5.86-11.47,6.649,4.122,3.31-18.02,8.28,3.331,4.78-18.02
DLTR,Dollar Tree Inc,0.07%,1.609,0.51,1.14-2.63,1.669,0.934,0.7-3.84,2.059,0.881,0.86-4.49
VFC,V.F. Corp,0.07%,0.842,0.32,0.6-1.54,1.673,1.023,0.69-4.22,1.555,0.907,0.83-4.49
VMC,Vulcan Materials Company,0.06%,3.305,0.425,2.88-3.73,2.535,0.823,1.28-3.98,3.124,0.747,1.76-4.54
VIAC,Viacom CBS Cl B,0.06%,1.098,0.373,0.55-1.57,0.883,0.377,0.41-1.54,1.161,0.351,0.59-1.82
NTRS,Northern Trust Corp,0.06%,1.5,0.673,0.59-2.34,2.301,1.434,0.73-5.22,2.305,1.091,1.13-5.22
XYL,Xylem Inc,0.06%,1.623,0.569,0.97-2.71,1.823,0.918,1.04-4.09,2.011,0.7,1.42-4.1
HIG,Hartford Financial Services Group,0.06%,1.171,0.816,0.6-3.4,0.895,0.274,0.612-1.4,1.397,0.801,0.802-4.1
PAYC,Paycom Software Inc,0.06%,7.216,1.663,4.92-9.63,7.71,4.012,4.53-16.37,8.855,2.772,4.95-16.37
EXR,Extra Space Storage Inc,0.06%,2.226,0.818,1.33-4.14,3.62,1.195,2.08-5.26,3.409,1.056,2.01-5.8
KHC,Kraft Heinz Company,0.06%,0.579,0.517,0.24-1.71,0.438,0.179,0.22-0.72,0.636,0.351,0.34-1.799
CERN,Cerner Corp,0.06%,0.78,0.191,0.515-1.05,0.819,0.27,0.51-1.42,1.017,0.19,0.69-1.42
MLM,Martin Marietta Materials,0.06%,3.837,2.01,1.77-6.56,5.347,1.652,3.05-7.827,6.252,1.63,3.53-9.767
OKE,Oneok Inc,0.06%,1.074,0.579,0.58-2.42,0.726,0.26,0.44-1.2,1.12,0.428,0.635-2.49
ENPH,Enphase Energy Inc,0.06%,3.81,1.063,2.393-4.87,5.171,1.939,2.95-8.526,6.311,1.958,4.22-11.905
DTE,Dte Energy Company,0.06%,1.516,0.943,0.54-2.61,1.122,0.445,0.55-1.95,1.496,0.623,0.84-3.04
TSN,Tyson Foods,0.06%,0.964,0.484,0.53-2.055,1.131,0.422,0.41-1.71,1.299,0.382,0.73-2.055
TRMB,Trimble Navigation,0.06%,0.994,0.459,0.6-1.85,1.376,0.896,0.71-3.348,1.594,0.657,0.96-3.568
IP,International Paper Company,0.06%,0.649,0.275,0.259-1.015,0.757,0.224,0.43-1.03,0.845,0.212,0.454-1.129
ETR,Entergy Corp,0.06%,1.476,0.58,0.94-2.57,1.584,0.609,0.74-2.44,1.899,0.575,1.16-3.009
HBAN,Huntington Bcshs,0.06%,0.252,0.058,0.14-0.34,0.307,0.082,0.18-0.455,0.334,0.082,0.23-0.555
TSCO,Tractor Supply Company,0.06%,2.891,0.968,1.5-4.68,3.101,1.653,1.53-6.014,4.016,1.329,1.955-6.014
PPL,PPL Corp,0.06%,0.357,0.114,0.23-0.6,0.268,0.095,0.13-0.4,0.388,0.116,0.2-0.67
EIX,Edison International,0.06%,0.683,0.254,0.3-1.02,0.616,0.225,0.33-0.95,0.843,0.242,0.358-1.3
AEE,Ameren Corp,0.06%,1.042,0.751,0.4-2.45,0.943,0.38,0.54-1.79,1.283,0.536,0.76-2.79
COO,Cooper Companies,0.06%,6.632,1.894,3.3-8.45,6.327,4.351,1.98-17.705,8.285,3.475,3.28-17.705
NDAQ,Nasdaq Inc,0.06%,1.88,0.314,1.55-2.38,2.833,1.056,1.33-4.62,2.773,0.974,1.84-5.026
FLT,Fleetcor Technologies,0.06%,4.062,0.429,3.52-4.5,3.716,1.924,1.32-6.82,4.596,1.662,2.235-7.72
CTLT,Catalent Inc,0.06%,2.479,1.263,1.28-4.84,2.387,1.399,0.92-5.21,3.098,1.256,1.55-5.21
MKC,Mccormick & Company,0.06%,0.86,0.273,0.4-1.41,1.128,0.387,0.46-1.55,1.193,0.283,0.69-1.6
MAA,Mid-America Apartment Communities,0.06%,2.892,1.049,1.65-4.54,2.437,1.19,0.87-4.92,3.081,0.974,1.69-4.92
CRL,Charles River Laboratories Intl,0.06%,5.853,1.984,2.315-8.445,6.312,4.733,3.8-18.76,7.762,3.569,4.405-19.9
VRSN,Verisign Inc,0.06%,2.257,0.43,1.75-3.04,2.2,0.252,1.93-2.63,2.988,0.523,2.08-3.68
TDY,Teledyne Technologies Inc,0.06%,4.326,0.896,3.435-5.74,7.791,2.453,4.91-11.68,8.333,2.197,5.125-11.68
FE,Firstenergy Corp,0.06%,0.444,0.152,0.24-0.69,0.595,0.276,0.28-1.15,0.612,0.21,0.35-1.15
CLX,Clorox Company,0.06%,2.187,0.781,1.06-3.44,2.432,0.724,1.48-3.27,2.7,0.809,1.89-4.325
QRVO,Qorvo Inc,0.06%,2.542,1.235,1.23-5.13,3.316,1.25,1.71-5.72,3.526,1.016,2.35-5.76
STE,Steris Corp,0.05%,2.518,1.06,1.01-4.72,3.325,0.975,1.32-4.63,3.543,0.938,1.87-5.02
EXPD,Expeditors Intl,0.05%,1.647,0.323,1.18-2.06,1.713,0.823,0.73-3.36,2.083,0.663,1.23-3.51
EXPE,Expedia Group Inc,0.05%,2.846,1.257,1.65-5.26,2.981,0.914,1.455-4.48,3.791,0.934,2.305-5.67
ANET,Arista Networks Inc,0.05%,4.692,2.17,2.57-8.79,6.423,2.566,3.2-11.25,7.24,2.518,4.22-12.03
MPWR,Monolithic Power Sys,0.05%,7.237,2.387,4.13-11.15,7.564,3.573,4.34-14.66,9.966,2.682,7.04-15.081
ULTA,Ulta Beauty Inc,0.05%,6.485,1.282,4.71-7.93,8.704,5.873,2.735-25.05,10.359,5.696,5.215-28.95
ESS,Essex Property Trust,0.05%,5.02,1.18,2.34-6.4,5.63,2.588,2.84-9.92,6.037,1.967,3.135-9.92
OXY,Occidental Petroleum Corp,0.05%,0.959,0.347,0.42-1.38,0.802,0.249,0.55-1.15,1.13,0.226,0.81-1.44
VTR,Ventas Inc,0.05%,0.991,0.291,0.52-1.49,0.974,0.55,0.41-2.18,1.166,0.404,0.72-2.18
PKI,Perkinelmer,0.05%,2.992,1.469,1.49-5.47,4.127,2.576,1.78-9.42,4.382,1.814,2.01-9.42
KMX,Carmax Inc,0.05%,2.37,0.963,1.53-4.16,1.889,0.81,1.095-3.655,2.76,0.944,1.705-4.92
CHD,Church & Dwight Company,0.05%,1.048,0.572,0.54-2.065,0.801,0.428,0.44-1.745,1.099,0.427,0.67-2.165
HOLX,Hologic Inc,0.05%,0.939,0.263,0.53-1.465,1.271,0.576,0.845-2.5,1.44,0.436,0.73-2.7
BR,Broadridge Financial Solutions Llc,0.05%,1.654,0.771,1.02-3.14,1.712,0.498,0.9-2.38,2.019,0.482,1.26-3.14
RF,Regions Financial Corp,0.05%,0.332,0.104,0.18-0.46,0.454,0.143,0.21-0.645,0.467,0.113,0.29-0.675
KEY,Keycorp,0.05%,0.473,0.22,0.266-0.98,0.383,0.125,0.24-0.56,0.515,0.221,0.315-1.21
AMCR,Amcor Plc,0.05%,0.137,0.045,0.08-0.215,0.131,0.049,0.069-0.22,0.171,0.048,0.099-0.255
DGX,Quest Diagnostics Inc,0.05%,1.903,0.606,1.05-2.645,2.362,1.331,0.96-4.96,2.598,1.118,1.26-5.58
CZR,Caesars Entertainment Inc,0.05%,3.602,2.211,1.515-8.99,3.068,0.86,2.07-4.73,4.294,1.629,2.75-9.0
DPZ,Domino's Pizza Inc,0.05%,5.57,1.955,2.59-8.22,5.983,0.895,4.02-7.25,7.534,1.658,4.88-10.74
TER,Teradyne Inc,0.05%,2.816,1.534,1.18-5.22,2.025,0.627,1.3-3.42,2.642,0.985,1.262-5.22
IR,Ingersoll Rand Inc,0.05%,1.155,0.318,0.65-1.58,1.145,0.431,0.57-1.905,1.391,0.382,0.77-2.215
HPE,Hewlett Packard Enterprise Comp,0.05%,0.26,0.089,0.12-0.387,0.345,0.157,0.169-0.69,0.381,0.14,0.203-0.7
POOL,Pool Corp,0.05%,7.72,2.498,4.48-11.32,10.451,4.483,4.8-20.1,10.838,3.469,7.06-20.37
TYL,Tyler Technologies,0.05%,4.712,0.792,3.77-6.1,6.75,2.427,2.855-11.035,6.913,2.332,3.93-12.19
CCL,Carnival Corp,0.05%,0.788,0.186,0.43-1.0,0.825,0.234,0.51-1.285,1.06,0.238,0.69-1.51
DRI,Darden Restaurants,0.05%,3.4,1.404,1.68-5.12,2.232,0.86,1.15-4.175,3.098,0.868,1.74-5.33
GWW,W.W. Grainger,0.05%,4.6,1.363,2.36-6.0,6.07,2.444,2.9-9.64,6.4,1.873,3.02-9.695
PEAK,Healthpeak Properties Inc,0.05%,0.457,0.171,0.225-0.77,0.452,0.164,0.22-0.75,0.557,0.158,0.32-0.94
TTWO,Take-Two Interacti,0.05%,2.182,0.692,1.14-3.12,1.967,0.484,1.145-2.61,2.899,0.757,1.78-4.29
HES,Hess Corp,0.05%,1.954,0.602,0.84-2.51,1.716,0.835,0.79-3.38,2.183,0.599,1.2-3.43
WDC,Western Digital Cp,0.05%,1.419,0.509,0.655-2.165,2.15,0.945,1.186-4.03,2.098,0.713,1.185-4.133
AKAM,Akamai Technologies,0.05%,1.438,0.593,0.845-2.03,1.211,0.413,0.495-2.01,1.535,0.329,0.845-2.14
DRE,Duke Realty Corp,0.05%,0.748,0.274,0.35-1.26,0.819,0.403,0.435-1.68,0.934,0.316,0.37-1.68
CFG,Citizens Financial Group Inc/Ri,0.05%,0.821,0.272,0.425-1.19,1.049,0.297,0.71-1.555,1.072,0.261,0.745-1.775
CINF,Cincinnati Financial,0.05%,1.689,0.424,0.85-2.114,1.872,0.579,0.89-2.97,2.071,0.519,1.21-2.97
CMS,Cms Energy Corp,0.05%,0.704,0.372,0.36-1.51,0.734,0.379,0.29-1.345,0.871,0.346,0.5-1.63
MKTX,Marketaxess Holdings,0.05%,7.706,1.936,4.51-9.8,10.85,5.607,5.74-23.885,12.353,4.277,7.98-23.885
AVY,Avery Dennison Corp,0.05%,2.114,0.543,1.55-2.86,2.715,0.96,1.3-4.36,3.117,0.761,2.04-4.99
RCL,Royal Caribbean Cruises Ltd,0.05%,2.485,0.696,1.55-3.71,2.082,0.839,0.97-3.825,3.023,0.822,1.82-4.56
BBWI,Bath & Body Works Inc,0.05%,1.292,0.597,0.76-2.43,1.433,0.483,0.94-2.5,1.79,0.613,1.1-3.32
TFX,Teleflex Inc,0.05%,5.053,1.527,2.36-7.72,9.525,5.208,3.52-14.74,8.214,4.001,3.31-16.42
NTAP,Netapp Inc,0.05%,1.643,0.892,0.86-3.79,1.262,0.506,0.8-2.0,2.043,1.1,1.21-5.8
CE,Celanese Corp,0.05%,2.395,0.815,1.565-3.675,2.094,1.065,1.02-5.06,2.544,1.011,1.5-5.445
NVR,NVR Inc,0.05%,62.097,12.427,46.38-80.66,71.02,45.659,30.775-181.69,84.844,34.253,46.38-181.69
MTB,M&T Bank Corp,0.05%,2.359,0.833,1.4-4.09,2.833,0.938,1.32-4.4,3.033,0.883,1.91-5.36
HAL,Halliburton Company,0.05%,0.569,0.122,0.385-0.695,0.506,0.244,0.239-0.83,0.652,0.17,0.44-1.06
GPC,Genuine Parts Company,0.05%,1.776,1.566,0.64-4.85,1.405,0.537,0.55-2.21,1.983,1.03,0.94-5.41
VTRS,Viatris Inc,0.05%,0.265,0.148,0.16-0.58,0.312,0.125,0.19-0.59,0.329,0.13,0.18-0.61
J,Jacobs Engineering Group Inc,0.05%,2.119,0.901,1.1-3.55,1.959,0.865,0.96-3.59,2.404,0.854,1.095-3.91
ABC,Amerisourcebergen Corp,0.05%,1.879,1.065,0.55-3.549,1.68,0.551,0.73-2.31,2.151,0.919,0.655-3.98
STX,Seagate Technology Hldgs Plc,0.05%,1.708,1.015,0.915-4.162,2.613,0.642,1.607-3.62,2.454,0.928,1.31-4.39
IEX,Idex Corp,0.04%,2.614,0.901,1.41-4.1,3.203,1.417,1.49-5.22,3.538,1.228,1.81-6.38
BIO,Bio-Rad Laboratories,0.04%,14.59,4.953,5.48-21.94,17.801,10.073,9.26-41.47,19.497,7.655,10.88-41.47
PFG,Principal Financial Group Inc,0.04%,0.954,0.339,0.474-1.37,1.001,0.277,0.57-1.45,1.191,0.219,0.739-1.47
DVN,Devon Energy Corp,0.04%,0.874,0.351,0.42-1.52,1.13,0.361,0.68-1.7,1.145,0.355,0.58-1.89
RJF,Raymond James Financial,0.04%,2.434,0.979,1.08-3.73,2.049,0.873,1.08-3.575,2.678,0.881,1.14-4.05
MGM,MGM Resorts International,0.04%,1.021,0.289,0.695-1.49,0.928,0.354,0.5-1.51,1.195,0.345,0.77-1.83
K,Kellogg Company,0.04%,0.575,0.413,0.28-1.54,0.788,0.383,0.35-1.55,0.836,0.346,0.47-1.565
TXT,Textron Inc,0.04%,1.332,0.193,1.08-1.55,1.109,0.38,0.51-1.62,1.409,0.272,0.79-1.8
BXP,Boston Properties,0.04%,1.776,0.472,1.16-2.48,2.142,0.561,1.34-3.35,2.354,0.625,1.17-3.54
ABMD,Abiomed Inc,0.04%,5.888,1.419,3.805-8.03,6.224,2.937,3.1-12.81,7.798,2.203,4.42-12.81
BKR,Baker Hughes A Ge Co. Cl A,0.04%,0.577,0.288,0.275-1.08,0.384,0.12,0.26-0.552,0.616,0.226,0.32-1.13
CAG,Conagra Brands Inc,0.04%,0.462,0.117,0.3-0.66,0.392,0.102,0.22-0.51,0.519,0.106,0.37-0.795
AES,The Aes Corp,0.04%,0.37,0.064,0.25-0.43,0.301,0.075,0.195-0.41,0.396,0.075,0.255-0.52
MAS,Masco Corp,0.04%,0.656,0.574,0.27-1.89,0.826,0.389,0.44-1.48,0.982,0.448,0.4-1.94
OMC,Omnicom Group Inc,0.04%,0.974,0.435,0.52-1.67,0.989,0.226,0.77-1.47,1.21,0.254,0.9-1.84
EVRG,Evergy Inc,0.04%,0.723,0.398,0.26-1.44,0.928,0.358,0.44-1.54,1.029,0.368,0.46-1.56
WAB,Wabtec Corp,0.04%,1.456,0.419,0.88-1.95,1.184,0.498,0.72-1.95,1.569,0.443,0.88-2.3
UDR,United Dominion Realty Trust,0.04%,0.772,0.241,0.465-1.19,0.881,0.506,0.43-2.06,1.005,0.344,0.695-2.06
NLOK,Nortonlifelock Inc,0.04%,0.468,0.141,0.34-0.73,0.423,0.216,0.17-0.95,0.53,0.206,0.28-1.01
EMN,Eastman Chemical Company,0.04%,1.888,0.584,1.16-2.69,2.05,1.376,0.67-5.53,2.34,1.038,1.16-5.53
CAH,Cardinal Health,0.04%,0.827,0.374,0.3-1.286,0.604,0.277,0.255-1.03,0.895,0.299,0.465-1.41
LNT,Alliant Energy Corp,0.04%,0.704,0.48,0.35-1.75,0.711,0.358,0.32-1.26,0.887,0.42,0.46-1.99
CNP,Centerpoint Energy Inc,0.04%,0.397,0.229,0.24-0.86,0.438,0.114,0.265-0.615,0.502,0.175,0.29-0.96
UAL,United Airlines Holdings Inc,0.04%,1.234,0.6,0.765-2.526,1.357,0.685,0.626-2.65,1.601,0.557,0.89-2.666
JBHT,J B Hunt Transport,0.04%,3.716,0.935,2.35-4.97,3.514,1.688,1.51-6.09,4.2,1.316,2.11-6.66
IPG,Interpublic Group of Companies,0.04%,0.434,0.168,0.26-0.72,0.568,0.184,0.31-0.86,0.673,0.173,0.43-0.99
LKQ,LKQ Corp,0.04%,0.748,0.386,0.312-1.47,0.68,0.297,0.32-1.14,0.909,0.384,0.55-1.98
PHM,Pultegroup,0.04%,0.916,0.27,0.65-1.3,1.013,0.284,0.5-1.7,1.211,0.277,0.955-1.96
INCY,Incyte Corp,0.04%,1.468,0.983,0.58-3.59,1.162,0.282,0.74-1.56,1.767,0.818,0.91-4.17
LVS,Las Vegas Sands,0.04%,1.114,0.409,0.55-1.73,1.432,0.572,0.78-2.37,1.577,0.577,0.955-2.88
PKG,Packaging Corp of America,0.04%,1.526,0.547,0.78-2.34,1.896,0.781,0.86-3.28,2.144,0.782,1.01-3.72
SJM,J.M. Smucker Company,0.04%,1.856,0.837,1.08-3.73,1.655,0.625,0.985-2.9,2.242,0.935,1.19-5.11
WHR,Whirlpool Corp,0.04%,3.409,0.941,2.5-5.36,3.56,1.562,1.85-7.27,4.35,1.272,2.78-8.45
FBHS,Fortune Brands Home & Security,0.04%,1.387,0.202,1.16-1.66,1.464,0.756,0.49-3.3,1.774,0.61,0.85-3.59
PTC,Ptc Inc,0.04%,2.166,0.286,1.88-2.5,2.437,0.834,0.6-3.57,2.904,0.863,1.13-4.36
PWR,Quanta Services,0.04%,2.157,1.247,0.89-4.45,1.749,0.453,1.07-2.26,2.692,1.189,1.386-6.01
